codigo,nome,enderezo,concello,provincia,cpostal,telf,latitude,longitude,titularidade,concertado,dependente
15026947,CEMU Profesional Obradoiro,"Rúa Feans, 152 - (Apartado 1189)",Coruña (A),Coruña (A),15190,981281888,43.318947,-8.425463,Privada,Non,Non
15002852,CEIP do Pindo,Estrada de Muros-O Pindo,Carnota,Coruña (A),15296,981764860,42.894123,-9.135163,Pública,Non,Si
15005518,CEIP María Pita,"Ronda de Camilo Jose Cela, 2  A (Elviña)",Coruña (A),Coruña (A),15008,981292235,43.347214,-8.404047,Pública,Non,Si
36019463,IES Johan Carballeira,Rúa Staffan Mörling 4,Bueu,Pontevedra,36930,986323270,42.318874,-8.786972,Pública,Non,Si
15026753,IES A Pontepedriña,Rúa Amor Ruibal (A Pontepedriña),Santiago de Compostela,Coruña (A),15702,981530455,42.86785,-8.546486,Pública,Non,Si
36014799,EEI Vila Laura,Rúa Hispanidad 86,Vigo,Pontevedra,36203,986471410,42.22605,-8.726911,Pública,Non,Si
36024227,CEMU Profesional Mayeusis,"Rúa  Joaquín Costa, 58-60 00",Pontevedra,Pontevedra,36000,986866013,42.42793,-8.638113,Privada,Non,Non
15026352,IES Brión,Paseo de Pedrouzos 3,Brión,Coruña (A),15865,981881817,42.862446,-8.677665,Pública,Non,Si
15032091,ESMU Municipal da Capela,"As Neves, s/n",Capela (A),Coruña (A),15613,981459006,43.431355,-8.063562,Pública,Non,Non
15032273,ESMU Municipal da Baña,Rúa TADELLE 5,Baña (A),Coruña (A),15863,,42.96135,-8.759016,Pública,Non,Non
32016662,ESMU Municipal da Pobra de Trives,Rúa Castelao s/n,Pobra de Trives (A),Ourense,32780,988330000,42.340984,-7.2505836,Pública,Non,Non
36019751,IES de Tomiño,Solleiro s/n,Tomiño,Pontevedra,36740,986623346,41.98925,-8.732515,Pública,Non,Si
36019633,CPR Los Sauces,Estrada de Campañó - a Cabaleiro,Pontevedra,Pontevedra,36157,986870722,42.457676,-8.657576,Privada,Non,Non
36005865,CPI de Panxón,Camiño dos Lagos 1,Nigrán,Pontevedra,36340,986365963,42.14606,-8.82311,Pública,Non,Si
36001057,CEIP do Hío,O Igrexario,Cangas,Pontevedra,36948,986329361,42.266632,-8.825498,Pública,Non,Si
15006663,CEIP Cruceiro de Canido,Cruceiro de Canido s/n,Ferrol,Coruña (A),15401,981353475,43.484425,-8.239199,Pública,Non,Si
27011767,CEMU Profesional  Cantiga,Avenida da Merced 58,Sarria,Lugo,27600,630773232,42.778442,-7.4205675,Privada,Non,Non
15024975,CEIP Pío XII,Rúa Poza de Bar s/n,Santiago de Compostela,Coruña (A),15705,981562522,42.879578,-8.551851,Pública,Non,Si
32016510,CMUS Profesional do Barco de Valdeorras,Avenida Estación 2,Barco de Valdeorras (O),Ourense,32300,988320533,42.415524,-6.9856634,Pública,Non,Non
36010691,CEP Plurilingüe Igrexa-Valadares,"Camiño Caseiro, s/n (A Igrexa)",Vigo,Pontevedra,36314,986467019,42.174095,-8.724764,Pública,Non,Si
27014811,IES Plurilingüe Fontem Albei,Rúa Marmoiral s/n,Fonsagrada (A),Lugo,27100,982340156,43.13231,-7.066269,Pública,Non,Si
36015172,CEIP A Xunqueira Nº 2,Rúa Alexandre Boveda s/n,Pontevedra,Pontevedra,36005,986872874,42.436348,-8.637303,Pública,Non,Si
32008811,CEIP Virxe de Covadonga,Rúa Cibeles 1,Ourense,Ourense,32001,988212193,42.357414,-7.872388,Pública,Non,Si
15009445,CEIP Unión Mugardesa,Avenida Francisco Yañez Badia 1,Mugardos,Coruña (A),15620,981470089,43.456177,-8.253028,Pública,Non,Si
27020690,EOI de Ribadeo,Casa Casa do Öptico,Ribadeo,Lugo,,982129657,43.538235,-7.0501757,Pública,Non,Si
27014057,CEE Santa María,Rúa Da Luz 1,Lugo,Lugo,27002,982242213,42.995705,-7.5464168,Pública,Non,Si
15022152,EEI de Coirós de Arriba,Cruceiro (Coiros de Arriba) 16,Coirós,Coruña (A),15316,981796414,43.250286,-8.166299,Pública,Non,Si
36019611,CEP Marcos da Portela,"Rúa de Suecia, 1 (Monte Porreiro)",Pontevedra,Pontevedra,36162,986865052,42.444916,-8.626285,Pública,Non,Si
32003059,CEIP San Marcos,Rúa Bandeira 1,Cartelle,Ourense,32820,988484146,42.251507,-8.066889,Pública,Non,Si
36000375,CEIP da Torre-Cela,A Torre 75,Bueu,Pontevedra,36939,986321058,42.328075,-8.759383,Pública,Non,Si
15016000,CIFP Compostela,Lamas de Abade s/n,Santiago de Compostela,Coruña (A),15702,981523140,42.859825,-8.535134,Pública,Non,Si
36014970,CEIP Varela Buxán,Núcleo Cercio,Lalín,Pontevedra,36596,986699473,42.754322,-8.12343,Pública,Non,Si
32012103,CPI Virxe da Saleta,A Costa,San Cristovo de Cea,Ourense,32130,988282169,42.470627,-7.984178,Pública,Non,Si
36024689,CPR Arturo,Rúa Pi y Margall 40 baixo,Vigo,Pontevedra,,986122035,42.233727,-8.7303705,Privada,Non,Non
32001920,CEIP de Beariz,Avenida Carrero Blanco,Beariz,Ourense,32430,988284223,42.471603,-8.2782135,Pública,Non,Si
15027708,CEIP Ría do Burgo,Rúa MARÍA CAGIAO 8,Culleredo,Coruña (A),15174,981667356,43.320606,-8.378588,Pública,Non,Si
15027915,IES Fin do Camiño,A Charca s/n,Fisterra,Coruña (A),15155,981740242,42.913567,-9.269669,Pública,Non,Si
27012504,CPI San Tomé do Carballo,Rúa do Conde s/n,Taboada,Lugo,27550,982465479,42.721172,-7.7606287,Pública,Non,Si
15022565,EEI de Carnoedo,"Rúa Taibo, 1 A",Sada,Coruña (A),15169,981621816,43.370308,-8.271901,Pública,Non,Si
36024082,CPR ICA,Rúa Portela 12,Vigo,Pontevedra,36205,986377779,0.0,0.0,Privada,Non,Non
27006541,IES Nosa Sra. dos Ollos Grandes,Avenida Ramón Ferreiro s/n,Lugo,Lugo,27002,982220698,43.006317,-7.5562654,Pública,Non,Si
15032108,ESMU Municipal A Fábrica,"Rúa  do Inglés, 11 00",Oleiros,Coruña (A),15172,981636598,43.316334,-8.365198,Pública,Non,Non
27016251,CMUS Profesional de  Vilalba,Rúa As Pedreiras s/n,Vilalba,Lugo,27800,982512888,43.299267,-7.6827908,Pública,Non,Non
15021858,CEIP Almirante Juan de Lángara y Huarte,"Estrada de Catabois, 45-71",Ferrol,Coruña (A),15405,981322905,43.489998,-8.234349,Pública,Non,Si
32016273,IES Xesús Ferro Couselo,Ponte Sevilla 43,Ourense,Ourense,32005,988252000,42.31564,-7.8638186,Pública,Non,Si
15015743,IES Arcebispo Xelmírez I,Rúa Poza de Bar s/n,Santiago de Compostela,Coruña (A),15705,981584321,42.878258,-8.552691,Pública,Non,Si
27015724,CEIP Monseivane,Lanzós (San Martiño),Vilalba,Lugo,27871,982511404,43.365376,-7.6358414,Pública,Non,Si
15027782,IES Nº 1,Rúa Mestre Nicolas del Rio s/n,Ordes,Coruña (A),15680,981680922,43.074024,-8.403119,Pública,Non,Si
36018379,IES A Xunqueira II,Rúa Celso Emilio Ferreiro 6,Pontevedra,Pontevedra,36005,986872484,42.43908,-8.637212,Pública,Non,Si
15027551,CRA de Rianxo,Lugar Asados,Rianxo,Coruña (A),15984,981863305,42.67756,-8.793144,Pública,Non,Si
36020258,IES Nº 1,Rúa da Cultura s/n,Estrada (A),Pontevedra,36680,986572054,42.69261,-8.506518,Pública,Non,Si
15021627,CEIP Emilia Pardo Bazán,Trav. Os Rosais s/n,Coruña (A),Coruña (A),15011,981276781,43.375645,-8.427211,Pública,Non,Si
32008173,CEIP de Oímbra,Rúa GRUPO ESCOLAR 16,Oímbra,Ourense,32613,988426201,41.886852,-7.46427,Pública,Non,Si
32020793,CPR CyC Llongueras,Rúa Coruña 32 B,Ourense,Ourense,,988240352,42.330605,-7.862472,Privada,Non,Non
36024252,CMUS Profesional da Estrada,"Avenida BENITO VIGO, 94 - 3",Estrada (A),Pontevedra,36680,986572492,42.688206,-8.4854145,Pública,Non,Non
36012183,CEIP Nosa Señora da Piedade,Rúa Xosé Neira Vilas,Vila de Cruces,Pontevedra,36590,986582100,42.792194,-8.166129,Pública,Non,Si
36019049,CEIP de Barrantes,O Mosteiro,Tomiño,Pontevedra,36749,986622651,42.012215,-8.758243,Pública,Non,Si
27016662,CEIP de Monforte de Lemos,Rúa Emilia Casas Baamonde s/n,Monforte de Lemos,Lugo,27400,982400442,42.52821,-7.511572,Pública,Non,Si
15013254,CFEA de Sergude,Sergude (San Breixo),Boqueixón,Coruña (A),15881,981511815,42.822548,-8.460625,Pública,Non,Non
36007023,CEIP Xosé Fernández López,Rúa Doantes de Sangue 1,Porriño (O),Pontevedra,36400,986331556,42.159046,-8.61311,Pública,Non,Si
15023430,CEP Xosé María Brea Segade,"Campo Maneiro, 43 E",Rianxo,Coruña (A),15985,981862002,42.682426,-8.825086,Pública,Non,Si
27006048,CEIP Manuel Mallo Mallo,Campo da Feira (Nadela),Lugo,Lugo,27160,982304196,42.970898,-7.5036945,Pública,Non,Si
36009411,CEIP Pintor Antonio Fernández,Praza Pintor Antonio Fernández 6,Tomiño,Pontevedra,36750,986620101,41.947235,-8.773382,Pública,Non,Si
36018380,IES Miguel Ángel González Estévez,Avenida Rosalía de Castro s/n,Vilagarcía de Arousa,Pontevedra,36600,986504883,42.612255,-8.770491,Pública,Non,Si
32016327,CEIP A Ponte,Avenida Xesus Pousa 14,Ourense,Ourense,32001,988215833,42.348236,-7.8738174,Pública,Non,Si
36020325,IES Illa de San Simón,Avenida de Mendiño 28,Redondela,Pontevedra,36800,986400800,42.28864,-8.610963,Pública,Non,Si
27000541,CEIP San Miguel de Reinante Barreiros,O Souto,Barreiros,Lugo,27793,982134180,43.54314,-7.1920376,Pública,Non,Si
32015797,CEIP Amaro Refojo,Avenida Hermanos Fernandez Alvarez 1,Verín,Ourense,32600,988411425,41.941296,-7.43503,Pública,Non,Si
15008714,CPI da Picota,A Picota s/n,Mazaricos,Coruña (A),15256,981852049,42.936085,-8.992678,Pública,Non,Si
15012717,CEIP Rosalía de Castro,Rúa Santiaguiño s/n,Padrón,Coruña (A),15900,981811157,42.742836,-8.665976,Pública,Non,Si
36004472,CEIP do Carballal,"Viñas Blancas, s/n (O Carballal)",Marín,Pontevedra,36915,986881420,42.383244,-8.689098,Pública,Non,Si
36011634,IES Politécnico de Vigo,Rúa TORRECEDEIRA 88,Vigo,Pontevedra,36208,986213025,42.226593,-8.73508,Pública,Non,Si
15003005,CPI Vicente Otero Valcárcel,Rúa Alcalde Juan Seijas s/n,Carral,Coruña (A),15175,981670532,43.225117,-8.354829,Pública,Non,Si
27010325,CEIP Plurilingüe da Pontenova,Rúa Escolas s/n,Pontenova (A),Lugo,27720,982342278,43.35251,-7.1929016,Pública,Non,Si
15018203,CPI de Bembibre,Rúa Socortes 18,Val do Dubra,Coruña (A),15873,981889156,43.025013,-8.662055,Pública,Non,Si
36010629,CEIP Vicente Risco,Rúa Santander 10,Vigo,Pontevedra,36207,986378304,42.246178,-8.700839,Pública,Non,Si
36019451,CEIP A Escardia,Rúa Lopez Ballesteros s/n,Vilagarcía de Arousa,Pontevedra,36600,986510171,42.599636,-8.762964,Pública,Non,Si
36024112,CRA Mestra Clara Torres,"Avenida  da Concordia, s/n 00",Tui,Pontevedra,36700,986604436,42.05194,-8.64244,Pública,Non,Si
32015682,CEIP de Castrelo do Val,Rúa Toural 5,Castrelo do Val,Ourense,32625,988419008,41.988174,-7.4215975,Pública,Non,Si
15009391,CEIP Santiago Apóstolo,Avenida Francisco Vizoso,Mugardos,Coruña (A),15626,981460927,43.446617,-8.219297,Pública,Non,Si
27013387,CEIP Antonio Pedrosa Latas,Rúa SAN PANTALEÓN s/n,Viveiro,Lugo,27863,982560761,43.677288,-7.586408,Pública,Non,Si
36013916,EEI de Donramiro,Rúa CAPELA 6,Lalín,Pontevedra,36500,697709850,42.655582,-8.120522,Pública,Non,Si
36013576,CPI Manuel Suárez Marquier,A Cumieira de Arriba s/n,Rosal (O),Pontevedra,36770,986625275,41.930553,-8.837686,Pública,Non,Si
27015360,CEE Infanta Elena,Rúa Camiño Real s/n,Monforte de Lemos,Lugo,27400,982403303,42.532845,-7.5316644,Pública,Non,Si
15024045,EEI de Areas,Adragonte (Santiago),Paderne,Coruña (A),15314,649180677,43.29487,-8.137906,Pública,Non,Si
15016012,CEIP Plurilingüe Cardeal Quiroga Palacios,"Avenida Villaldia, 33-35",Santiago de Compostela,Coruña (A),15706,981543181,42.867577,-8.55654,Pública,Non,Si
15018021,CEIP da Polveira,Chaián (Santa María),Trazo,Coruña (A),15687,666596890,42.964478,-8.536056,Pública,Non,Si
15024941,CEIP A Laxe,"Rúa A Torre, Valón",Ferrol,Coruña (A),15593,981327203,43.494503,-8.267684,Pública,Non,Si
15000843,EEI de Lañas,Lañas (Santa Baia),Baña (A),Coruña (A),15863,669368417,42.95535,-8.707912,Pública,Non,Si
36018987,CRA Antía Cal,Gandara 8,Gondomar,Pontevedra,36389,986360964,42.0978,-8.738476,Pública,Non,Si
15008490,CEIP Víctor Sáenz,Antes,Mazaricos,Coruña (A),15256,981852030,42.997288,-8.912584,Pública,Non,Si
15017314,CEIP de Toques,A Capela (Santa María),Toques,Coruña (A),15806,981506239,42.968235,-7.973463,Pública,Non,Si
36006407,CEIP Plurilingüe Froebel,Rúa Martitegui 3,Pontevedra,Pontevedra,36002,986840671,42.432392,-8.650065,Pública,Non,Si
15005385,CEE María Mariño,Rúa As Xubias 15,Coruña (A),Coruña (A),15006,981174273,43.34393,-8.384081,Pública,Non,Si
27003151,IES Lama das Quendas,Rúa Uxío Novoneyra,Chantada,Lugo,27500,982440551,42.61254,-7.7757883,Pública,Non,Si
27015906,CEIP da Ponte de Doiras,Cereixedo (Santiago),Cervantes,Lugo,27665,982161779,42.78546,-6.9827776,Pública,Non,Si
27012826,CEIP Santa María do Valadouro,"Rúa Deputacion, 7 - Ferreira",Valadouro (O),Lugo,27770,982574035,43.552925,-7.4443426,Pública,Non,Si
36020143,IES de Poio,Rúa Fontenla s/n,Poio,Pontevedra,36995,986771295,42.44396,-8.6895,Pública,Non,Si
32011755,CEIP Manuel Respino,Avenida de  Vilela 34,Rúa (A),Ourense,32350,988310631,42.39829,-7.103777,Pública,Non,Si
